4FGLName,glon,glat
J0222.2,133.42,0.94
J0240.5,135.68,1.09
J0330.7,142.35,2.02
J0340.4,146.79,-1.82
J0426.5,150.88,3.82
J0500.3,160.37,2.69
J0540.3,180.24,-1.50
J0609.0,190.31,0.17
J0617.2,189.05,3.03
J0620.4,196.30,0.00
J0634.2,206.87,-1.70
J0639.4,205.40,0.50
J0709.1,224.35,-0.92
J0844.1,263.19,-0.53
J0850.8,263.30,0.96
J0904.7,269.78,-1.44
J1008.1,282.13,-0.98
J1018.9,284.35,-1.68
J1045.1,287.60,-0.62
J1351.6,310.00,0.34
J1358.3,311.10,1.36
J1405.1,311.66,0.28
J1442.2,316.34,-0.13
J1447.4,317.84,1.52
J1514.2,320.35,-1.21
J1534.0,326.29,2.79
J1547.5,328.58,2.37
J1552.9,326.32,-1.74
J1601.3,329.66,0.33
J1608.8,333.45,2.76
J1626.6,339.31,4.31
J1633.0,336.52,0.12
J1742.8,4.94,3.74
J1801.3,6.53,-0.25
J1808.2,18.26,4.44
J1812.2,20.48,4.50
J1813.1,12.95,0.17
J1814.2,19.59,3.48
J1839.4,26.33,-0.33
J1852.4,33.60,0.07
J1855.2,37.77,1.40
J1855.9,34.65,-0.39
J1857.7,36.13,-0.15
J1906.9,41.12,-0.15
J1908.7,42.20,-0.08
J1911.0,43.25,-0.18
J1923.2,49.12,-0.46
J2021.0,78.24,2.20
J2028.6,79.60,1.40
J2032.6,79.81,0.63
J2038.4,81.53,0.54
J2045.2,88.75,4.67
J2056.4,84.87,-0.98
J2108.0,92.21,2.91

